Medical Record Number,Suffix,First Name,Middle Name,Last Name,Date of Birth,Social Security Number,Gender,Marital Status,Created Date,Coding Date,Billing Date,Claims Date,Charge Capture Date
355185,Mr,Wonder,Z,Bond,2004-05-11,155-65-2374,Female,Separated,,2020-06-25,2020-06-26,,2020-06-29
076354,Mr,Optimus,A,Bond,1981-09-03,910-21-6062,Male,Domestic,2020-06-21,2020-06-22,2020-06-22,2020-06-22,2020-06-27
590440,Mrs,Wonder,A,Bond,2011-08-15,399-82-9365,Male,Widowed,2020-06-22,2020-06-24,2020-06-24,2020-06-25,2020-06-28
780549,Dr,Wonder,N,Bond,2014-10-18,833-36-2659,Male,Married,2020-06-19,2020-06-20,2020-06-23,,
108748,Ms,SpongeBob,U,Woman,1971-12-05,102-45-7551,Male,Domestic,2020-06-19,2020-06-20,2020-06-23,2020-06-26,
276705,Mr,Darth,G,Woman,2011-11-22,042-21-5217,Female,Separated,2020-06-20,2020-06-24,2020-06-27,2020-06-27,2020-06-27
298652,Mr,Wonder,H,Prime,1993-02-12,786-17-6696,Female,Domestic,,2020-06-25,2020-06-27,,2020-06-29
362374,Dr,Darth,R,Woman,1975-11-22,053-21-1999,Female,Domestic,,2020-06-25,,2020-06-27,2020-06-29
543431,Mrs,Optimus,R,Mouse,2001-12-21,648-24-1498,Female,Married,2020-06-19,2020-06-20,2020-06-21,,
830578,Ms,James,F,Simpson,2008-05-24,175-85-9921,Female,Separated,,2020-06-23,,2020-06-25,2020-06-26
247230,Mrs,Darth,S,Woman,2000-02-29,338-58-0328,Female,Domestic,2020-06-20,2020-06-21,2020-06-23,2020-06-26,2020-06-27
046590,Dr,Mickey,O,Underwood,2000-08-30,076-57-4596,Male,Widowed,2020-06-20,2020-06-22,2020-06-22,2020-06-22,2020-06-28
310329,Ms,Bruce,I,Underwood,1979-05-04,061-74-2543,Male,Divorced,2020-06-19,2020-06-20,,,2020-06-25
394758,Mrs,James,B,Mouse,2017-09-19,405-50-1098,Male,Single,2020-06-20,2020-06-21,2020-06-22,,
914372,Mr,Optimus,Y,Wayne,1984-10-03,714-19-0147,Male,Married,2020-06-22,2020-06-23,2020-06-24,2020-06-27,2020-06-27
333843,Dr,Optimus,E,Mouse,1973-04-23,582-39-5170,Male,Domestic,2020-06-19,2020-06-20,2020-06-23,2020-06-25,2020-06-29
235152,Mr,Optimus,K,Mouse,1975-12-27,258-40-6576,Male,Married,,,,,2020-06-27
186555,Dr,Carrie,M,Bond,1977-01-14,079-52-7064,Female,Divorced,2020-06-20,2020-06-23,2020-06-25,,2020-06-28
325604,Ms,Darth,X,Simpson,2014-02-23,350-04-1463,Male,Divorced,,,,,
178615,Mr,Optimus,D,SquarePants,1986-10-27,714-11-0387,Female,Domestic,2020-06-23,2020-06-24,2020-06-24,2020-06-25,2020-06-29
